date;mois;jour_semaine;admissions_urgences;lits_occupes;lits_total;taux_occupation;sorties_patient;duree_sejour_moyen;revenus_jour;grippe_saison;epidemies;temperature;urgences_pediatriques;reanimation_occupes;stock_masques;stock_oxygene;stock_medicaments;stock_consommables;stocks_materiel;ide_dispo;medecins_dispo;personnel_dispo;personnel_rea;absences_personnel;conso_masques_par_patient;conso_masques_jour;conso_oxygene_par_patient;conso_oxygene_jour;ratio_ide_patients;besoins_ide;deficit_ide;ratio_medecins_patients;besoins_medecins;deficit_medecins;alerte_stocks;alerte_personnel;alerte_saturation;scenario;vacances_zone_c;nom_vacances;trend_fievre;trend_covid;trend_gastro;trend_grippe;trend_toux
20/01/2019;1;6;250;1072;1800;59.6;245;4.0;278816;35;0;13.9;67;107;3102;1467;6547;1605;46.9;241;106;347;60;19;7.3;1825;2.0;500;0.8;200;0;0.3;75;0;0;0;0;grève;False;;1;0;2;2;1
21/01/2019;1;0;254;1078;1800;59.9;245;3.2;274737;19;0;16.7;72;107;2797;1443;7323;1932;47.8;268;114;382;55;15;10.4;2642;2.2;559;0.8;203;0;0.3;76;0;0;0;0;hiver;False;;1;0;2;2;1
22/01/2019;1;1;223;1073;1800;59.6;261;3.7;231004;46;0;11.5;75;107;3771;1086;6877;1605;59.1;254;126;380;55;11;6.2;1383;3.5;780;0.8;178;0;0.3;67;0;0;0;0;hiver;False;;1;0;2;2;1
23/01/2019;1;2;211;1047;1800;58.2;189;2.0;206773;37;0;18.6;60;104;3174;1244;6520;1860;55.2;209;117;326;52;9;10.9;2300;3.4;717;0.8;169;0;0.3;63;0;0;0;0;grève;False;;1;0;2;2;1
24/01/2019;1;3;248;1065;1800;59.2;210;3.9;283551;45;0;15.7;66;106;3245;1227;7979;1424;49.2;239;113;352;54;17;11.0;2728;3.5;868;0.8;198;0;0.3;74;0;0;0;0;grève;False;;1;0;2;2;1
25/01/2019;1;4;273;1090;1800;60.6;282;4.4;322886;41;0;13.0;66;109;2873;1343;5019;1870;50.6;245;106;351;51;18;8.4;2293;2.3;628;0.8;218;0;0.3;82;0;0;0;0;grève;False;;1;0;2;2;1
26/01/2019;1;5;245;1095;1800;60.8;290;4.3;244906;46;0;18.3;78;109;1799;1214;8487;1393;43.0;235;76;311;52;11;5.7;1396;3.9;956;0.8;196;0;0.3;74;0;1;0;0;grève;False;;1;0;2;2;1
27/01/2019;1;6;236;1086;1800;60.3;224;7.7;276737;40;0;13.3;65;108;2394;1308;7966;1997;49.6;248;86;334;63;13;9.0;2124;3.3;779;0.8;189;0;0.3;71;0;0;0;0;grève;False;;1;0;2;2;1
28/01/2019;1;0;274;1099;1800;61.1;225;7.3;283133;38;0;13.6;67;109;2999;1428;6858;1938;52.4;218;112;330;48;16;10.7;2932;1.7;466;0.8;219;1;0.3;82;0;0;0;0;grève;False;;1;0;2;2;1
29/01/2019;1;1;271;1130;1800;62.8;253;3.4;275161;40;0;11.8;80;113;3000;1119;6391;1547;53.4;250;133;383;51;19;7.0;1897;2.7;732;0.8;217;0;0.3;81;0;0;0;0;hiver;False;;1;0;2;2;1
30/01/2019;1;2;276;1172;1800;65.1;276;2.0;270975;55;0;10.0;72;117;2757;1466;6393;1413;57.2;244;121;365;54;13;10.9;3008;3.2;883;0.8;221;0;0.3;83;0;0;0;0;grève;False;;1;0;2;2;1
31/01/2019;1;3;256;1177;1800;65.4;221;4.4;226231;47;0;19.1;84;117;3617;910;7089;1862;55.2;247;86;333;56;16;9.7;2483;1.9;486;0.8;205;0;0.3;77;0;0;0;0;grève;False;;1;0;2;2;1
01/02/2019;2;4;287;1186;1800;65.9;300;5.1;230027;43;0;21.7;81;118;2958;1060;6703;2045;48.6;223;103;326;61;12;11.9;3415;3.8;1091;0.8;230;7;0.3;86;0;0;0;0;grève;False;;1;0;2;4;1
02/02/2019;2;5;257;1194;1800;66.3;300;3.2;230427;45;0;15.4;75;119;3729;955;6148;2117;58.8;208;90;298;56;14;10.8;2776;3.4;874;0.8;206;0;0.3;77;0;0;0;0;grève;False;;1;0;2;4;1
03/02/2019;2;6;257;1207;1800;67.1;252;3.3;258000;61;0;14.2;85;120;1714;1252;6970;1692;55.3;215;84;299;50;15;6.4;1645;1.7;437;0.8;206;0;0.3;77;0;1;0;0;grève;False;;1;0;2;4;1
04/02/2019;2;0;280;1211;1800;67.3;263;6.9;266556;39;0;10.3;79;121;3627;1310;6846;1335;41.8;237;121;358;55;15;8.1;2268;3.8;1064;0.8;224;0;0.3;84;0;0;0;0;grève;False;;1;0;2;4;1
05/02/2019;2;1;295;1227;1800;68.2;283;4.1;288921;49;0;9.0;84;122;2336;1082;6219;1455;40.5;206;96;302;45;13;5.7;1682;2.5;738;0.8;236;30;0.3;88;0;0;1;0;grève;False;;1;0;2;4;1
06/02/2019;2;2;246;1207;1800;67.1;208;5.5;293296;54;0;20.7;67;120;3044;1167;8839;1263;69.1;242;105;347;59;22;5.5;1353;2.6;640;0.8;197;0;0.3;74;0;0;0;0;grève;False;;1;0;2;4;1
07/02/2019;2;3;287;1227;1800;68.2;300;3.1;269811;54;0;10.0;80;122;3297;867;6448;1398;74.1;265;98;363;59;10;9.9;2841;3.5;1004;0.8;230;0;0.3;86;0;0;0;0;grève;False;;1;0;2;4;1
08/02/2019;2;4;288;1228;1800;68.2;278;4.4;282491;50;0;13.5;73;122;1638;1472;5133;1695;54.0;234;140;374;54;16;11.4;3283;3.1;893;0.8;230;0;0.3;86;0;1;0;0;grève;False;;1;0;2;4;1
09/02/2019;2;5;275;1239;1800;68.8;262;4.0;234687;65;0;19.4;87;123;2673;1170;5891;1514;42.4;230;107;337;59;14;11.8;3245;2.6;715;0.8;220;0;0.3;82;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
10/02/2019;2;6;265;1245;1800;69.2;281;3.5;217084;69;0;18.7;107;124;3384;1114;7382;1494;67.5;264;74;338;53;16;6.9;1828;2.1;556;0.8;212;0;0.3;80;6;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
11/02/2019;2;0;307;1262;1800;70.1;299;6.2;340820;52;0;19.8;78;126;2235;1391;5738;1448;41.3;246;135;381;50;14;6.4;1965;2.8;860;0.8;246;0;0.3;92;0;0;0;0;hiver;False;Vacances d'hiver;1;0;2;4;1
12/02/2019;2;1;273;1248;1800;69.3;289;2.4;280719;71;0;18.6;94;124;3272;1110;5928;1554;54.3;267;116;383;64;12;8.9;2430;2.9;792;0.8;218;0;0.3;82;0;0;0;0;hiver;False;Vacances d'hiver;1;0;2;4;1
13/02/2019;2;2;262;1258;1800;69.9;216;5.0;289322;72;0;17.3;91;125;3242;1031;7972;1916;52.7;258;128;386;64;16;6.4;1677;3.1;812;0.8;210;0;0.3;79;0;0;0;0;hiver;False;Vacances d'hiver;1;0;2;4;1
14/02/2019;2;3;268;1246;1800;69.2;300;4.0;230465;79;0;14.3;82;124;2940;1053;6919;1261;53.2;222;107;329;56;19;7.1;1903;3.0;804;0.8;214;0;0.3;80;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
15/02/2019;2;4;316;1264;1800;70.2;300;5.1;325079;67;0;16.5;73;126;2771;880;5727;1577;39.6;232;119;351;47;15;10.9;3444;3.0;948;0.8;253;21;0.3;95;0;0;1;0;grève;False;Vacances d'hiver;1;0;2;4;1
16/02/2019;2;5;290;1274;1800;70.8;300;4.0;261423;62;0;18.0;88;127;3327;916;4304;1536;58.2;236;104;340;58;14;10.7;3103;2.7;783;0.8;232;0;0.3;87;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
17/02/2019;2;6;301;1297;1800;72.1;300;5.8;268259;69;0;11.7;104;129;2893;958;6884;1625;44.3;220;96;316;47;19;11.3;3401;2.9;873;0.8;241;21;0.3;90;0;0;1;0;grève;False;Vacances d'hiver;1;0;2;4;1
18/02/2019;2;0;313;1300;1800;72.2;269;3.1;251843;66;0;16.2;63;130;2960;1543;6256;1018;48.6;238;120;358;55;15;8.4;2629;2.2;689;0.8;250;12;0.3;94;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
19/02/2019;2;1;275;1302;1800;72.3;272;6.2;234337;86;0;18.0;70;130;2359;945;7740;1889;55.2;259;134;393;57;19;8.9;2448;1.9;522;0.8;220;0;0.3;82;0;0;0;0;hiver;False;Vacances d'hiver;1;0;2;4;1
20/02/2019;2;2;269;1306;1800;72.6;279;4.5;248477;59;0;16.8;66;130;3138;894;5896;1817;50.7;252;125;377;56;17;10.4;2798;3.0;807;0.8;215;0;0.3;81;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
21/02/2019;2;3;307;1331;1800;73.9;300;2.5;259953;66;1;18.3;67;183;2788;1134;6017;1966;32.7;232;121;353;54;53;6.7;2057;1.6;491;0.8;246;14;0.3;92;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
22/02/2019;2;4;283;1310;1800;72.8;271;5.5;337999;69;0;22.5;75;131;3297;1135;6842;1335;42.4;247;115;362;57;14;10.8;3056;1.7;481;0.8;226;0;0.3;85;0;0;0;0;grève;False;Vacances d'hiver;1;0;2;4;1
23/02/2019;2;5;263;1293;1800;71.8;245;4.2;242868;76;0;23.1;96;129;2317;1343;7848;1509;58.4;233;94;327;53;10;5.1;1341;2.1;552;0.8;210;0;0.3;79;0;0;0;0;grève;True;Vacances d'hiver;1;0;2;4;1
24/02/2019;2;6;331;1312;1800;72.9;281;2.0;282055;57;0;26.1;80;131;2888;896;6234;809;42.9;224;103;327;55;16;10.6;3509;2.0;662;0.8;265;41;0.3;99;0;0;1;0;grève;True;Vacances d'hiver;1;0;2;4;1
25/02/2019;2;0;292;1299;1800;72.2;279;5.0;256853;63;0;14.1;83;129;2224;950;5930;1292;40.9;224;126;350;47;18;10.4;3037;2.4;701;0.8;234;10;0.3;88;0;0;0;0;grève;True;Vacances d'hiver;1;0;2;4;1
26/02/2019;2;1;284;1304;1800;72.4;245;6.0;293963;66;0;18.5;81;130;3898;1482;7630;2010;49.2;236;116;352;59;13;7.1;2016;2.4;682;0.8;227;0;0.3;85;0;0;0;0;grève;True;Vacances d'hiver;1;0;2;4;1
27/02/2019;2;2;346;1354;1800;75.2;300;6.4;285664;70;0;25.2;93;135;1787;639;5598;1358;39.4;282;108;390;59;10;10.1;3495;1.8;623;0.8;277;0;0.3;104;0;1;0;0;hiver;True;Vacances d'hiver;1;0;2;4;1
28/02/2019;2;3;293;1345;1800;74.7;258;3.9;335477;63;0;13.4;93;134;2072;1193;6628;1317;51.9;246;116;362;54;14;6.5;1904;2.1;615;0.8;234;0;0.3;88;0;0;0;0;grève;True;Vacances d'hiver;1;0;2;4;1
01/03/2019;3;4;281;1344;1800;74.7;231;4.7;332873;65;0;15.8;77;134;2606;1295;7228;1634;64.0;230;126;356;59;22;9.0;2529;1.5;422;0.8;225;0;0.3;84;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
02/03/2019;3;5;302;1369;1800;76.1;300;4.6;271407;91;0;18.1;89;136;3108;1258;7626;1471;27.4;225;104;329;52;18;9.9;2990;2.4;725;0.8;242;17;0.3;91;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
03/03/2019;3;6;251;1317;1800;73.2;260;6.7;245990;77;0;28.8;95;131;3169;1186;7283;1172;64.5;250;87;337;60;20;10.0;2510;3.5;878;0.8;201;0;0.3;75;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
04/03/2019;3;0;329;1341;1800;74.5;300;3.3;266113;79;0;16.9;65;134;3207;763;8121;836;42.5;252;135;387;64;11;11.9;3915;2.2;724;0.8;263;11;0.3;99;0;1;0;0;normal;True;Vacances d'hiver;1;0;1;1;1
05/03/2019;3;1;273;1334;1800;74.1;281;3.8;288366;81;0;25.2;83;133;2665;1480;6652;1967;42.6;251;122;373;63;15;6.3;1720;3.1;846;0.8;218;0;0.3;82;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
06/03/2019;3;2;307;1309;1800;72.7;288;3.2;296430;67;0;20.8;88;130;2299;989;6550;1685;46.1;242;128;370;52;7;8.4;2579;1.7;522;0.8;246;4;0.3;92;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
07/03/2019;3;3;282;1302;1800;72.3;300;2.3;256063;79;0;16.4;82;130;2376;1459;6121;1144;60.8;248;111;359;49;16;11.2;3158;1.5;423;0.8;226;0;0.3;85;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
08/03/2019;3;4;291;1308;1800;72.7;295;4.9;256876;90;0;32.3;89;130;2408;1200;6766;1506;61.6;257;128;385;63;13;8.9;2590;2.7;786;0.8;233;0;0.3;87;0;0;0;0;normal;True;Vacances d'hiver;1;0;1;1;1
09/03/2019;3;5;308;1312;1800;72.9;256;6.9;326976;69;0;21.9;70;131;1837;979;6541;1245;36.4;238;97;335;52;22;11.1;3419;2.7;832;0.8;246;8;0.3;92;0;1;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
10/03/2019;3;6;268;1323;1800;73.5;275;4.2;259018;93;0;22.7;78;132;2531;1274;7620;1986;45.0;231;113;344;66;18;8.0;2144;2.0;536;0.8;214;0;0.3;80;0;0;0;0;grève;True;Vacances d'hiver;1;0;1;1;1
11/03/2019;3;0;290;1298;1800;72.1;300;3.2;252840;87;0;23.4;95;129;2074;1360;6875;1684;37.5;271;106;377;65;10;10.6;3074;2.2;638;0.8;232;0;0.3;87;0;0;0;0;grève;False;;1;0;1;1;1
12/03/2019;3;1;313;1324;1800;73.6;300;4.8;336676;81;0;23.2;83;132;2855;1077;5822;1103;45.5;266;121;387;64;13;11.1;3474;1.6;501;0.8;250;0;0.3;94;0;0;0;0;normal;False;;1;0;1;1;1
13/03/2019;3;2;302;1320;1800;73.3;277;5.4;309861;86;0;30.0;82;132;3324;946;6581;1526;47.9;257;113;370;51;17;10.9;3292;3.5;1057;0.8;242;0;0.3;91;0;0;0;0;grève;False;;1;0;1;1;1
14/03/2019;3;3;311;1339;1800;74.4;266;4.3;355619;77;0;28.6;98;133;2622;709;5730;1432;51.9;241;126;367;62;10;11.1;3452;2.3;715;0.8;249;8;0.3;93;0;1;0;0;grève;False;;1;0;1;1;1
15/03/2019;3;4;314;1354;1800;75.2;270;6.6;265955;97;0;17.8;73;135;2151;973;6671;1418;47.0;256;134;390;57;12;6.5;2041;2.0;628;0.8;251;0;0.3;94;0;0;0;0;normal;False;;1;0;1;1;1
16/03/2019;3;5;344;1377;1800;76.5;300;3.3;383308;96;0;29.6;86;137;2620;1129;5424;1126;45.2;235;106;341;56;26;8.1;2786;3.5;1204;0.8;275;40;0.3;103;0;0;1;0;grève;False;;1;0;1;1;1
17/03/2019;3;6;294;1394;1800;77.4;300;4.1;314406;81;0;18.8;80;139;2628;915;5353;1537;36.0;212;96;308;51;21;6.2;1823;1.6;470;0.8;235;23;0.3;88;0;0;1;0;grève;False;;1;0;1;1;1
18/03/2019;3;0;341;1426;1800;79.2;283;4.9;288487;103;0;22.9;97;142;2779;1113;5003;1039;52.6;245;116;361;58;16;6.3;2148;2.2;750;0.8;273;28;0.3;102;0;0;1;0;grève;False;;1;0;1;1;1
19/03/2019;3;1;290;1412;1800;78.4;300;5.1;312599;103;0;15.9;76;141;2207;1135;5580;1193;58.2;260;144;404;57;10;8.4;2436;2.2;638;0.8;232;0;0.3;87;0;0;0;0;normal;False;;1;0;1;1;1
20/03/2019;3;2;326;1427;1800;79.3;300;4.6;318378;95;0;25.9;87;142;1953;1171;5665;996;37.1;271;107;378;57;12;11.7;3814;2.2;717;0.8;261;0;0.3;98;0;1;0;0;grève;False;;1;0;1;1;1
21/03/2019;3;3;307;1425;1800;79.2;300;2.6;361644;91;0;20.5;88;142;2907;611;5638;1150;38.4;274;133;407;63;14;9.1;2794;1.5;460;0.8;246;0;0.3;92;0;1;0;0;normal;False;;1;0;1;1;1
22/03/2019;3;4;338;1440;1800;80.0;300;8.0;289546;92;1;17.2;92;194;2285;701;5926;1436;45.1;251;114;365;56;51;11.0;3718;3.8;1284;0.8;270;19;0.3;101;0;1;0;0;grève;False;;1;0;1;1;1
23/03/2019;3;5;296;1409;1800;78.3;246;4.1;312911;82;0;26.6;87;140;3095;1019;6134;1654;34.2;213;114;327;55;17;11.6;3434;3.7;1095;0.8;237;24;0.3;89;0;0;1;0;grève;False;;1;0;1;1;1
24/03/2019;3;6;320;1426;1800;79.2;300;4.7;304893;82;0;27.6;84;142;2010;1413;6572;1838;36.5;226;86;312;56;11;5.6;1792;2.5;800;0.8;256;30;0.3;96;10;0;1;0;grève;False;;1;0;1;1;1
25/03/2019;3;0;336;1423;1800;79.1;300;5.4;397396;125;0;27.8;97;142;2528;841;6274;1251;31.3;250;132;382;52;19;6.1;2050;2.6;874;0.8;269;19;0.3;101;0;0;0;0;normal;False;;1;0;1;1;1
26/03/2019;3;1;315;1439;1800;79.9;300;3.5;293577;87;0;15.8;86;143;2753;1029;5960;1635;42.5;229;113;342;55;27;7.0;2205;2.8;882;0.8;252;23;0.3;94;0;0;1;0;grève;False;;1;0;1;1;1
27/03/2019;3;2;314;1431;1800;79.5;300;4.6;372051;97;0;28.2;87;143;1719;1488;7225;1444;39.9;258;159;417;53;19;9.3;2920;2.7;848;0.8;251;0;0.3;94;0;1;0;0;normal;False;;1;0;1;1;1
28/03/2019;3;3;276;1411;1800;78.4;251;3.5;320324;104;0;20.8;100;141;2790;1257;5946;1709;44.0;250;114;364;52;15;5.4;1490;3.4;938;0.8;221;0;0.3;83;0;0;0;0;grève;False;;1;0;1;1;1
29/03/2019;3;4;310;1393;1800;77.4;300;5.1;281528;87;0;30.2;79;139;1511;1241;7085;1692;37.1;225;114;339;53;18;10.5;3255;2.7;837;0.8;248;23;0.3;93;0;1;1;0;grève;False;;1;0;1;1;1
30/03/2019;3;5;317;1407;1800;78.2;269;4.1;355489;115;0;24.5;99;140;3198;920;6320;1589;37.8;220;102;322;45;13;5.4;1712;2.0;634;0.8;254;34;0.3;95;0;0;1;0;grève;False;;1;0;1;1;1
31/03/2019;3;6;320;1407;1800;78.2;300;4.9;383437;102;0;23.0;90;140;1781;1275;5844;1432;32.9;220;95;315;45;22;6.1;1952;1.8;576;0.8;256;36;0.3;96;1;1;1;0;grève;False;;1;0;1;1;1
01/04/2019;4;0;296;1381;1800;76.7;300;2.9;266715;94;0;22.0;98;138;2537;1378;7351;1335;51.1;249;110;359;54;13;7.7;2279;3.8;1125;0.8;237;0;0.3;89;0;0;0;0;grève;False;;1;0;1;0;1
02/04/2019;4;1;316;1382;1800;76.8;275;3.3;308009;87;0;21.9;69;138;2469;1152;6653;1502;52.1;239;129;368;49;17;8.9;2812;1.6;506;0.8;253;14;0.3;95;0;0;0;0;grève;False;;1;0;1;0;1
03/04/2019;4;2;317;1383;1800;76.8;300;2.5;319559;100;1;19.3;68;188;1982;1031;5335;1824;46.2;238;131;369;54;42;11.2;3550;3.7;1173;0.8;254;16;0.3;95;0;1;0;0;grève;False;;1;0;1;0;1
04/04/2019;4;3;275;1383;1800;76.8;224;3.4;252442;106;0;17.7;88;138;3724;1286;6991;1677;61.6;240;106;346;50;16;11.7;3218;3.2;880;0.8;220;0;0.3;82;0;0;0;0;grève;False;;1;0;1;0;1
05/04/2019;4;4;292;1371;1800;76.2;280;2.0;235383;92;0;20.5;87;137;2318;798;6786;1421;40.7;256;103;359;59;13;11.2;3270;2.5;730;0.8;234;0;0.3;88;0;1;0;0;grève;False;;1;0;1;0;1
06/04/2019;4;5;338;1385;1800;76.9;300;4.0;300161;83;0;26.7;88;138;2161;1203;6749;1556;33.2;253;93;346;50;18;5.7;1927;2.0;676;0.8;270;17;0.3;101;8;0;0;0;grève;False;Vacances de printemps;1;0;1;0;1
07/04/2019;4;6;327;1389;1800;77.2;300;3.7;298477;87;0;16.4;102;138;2039;849;6544;949;44.7;226;95;321;44;8;9.4;3074;2.3;752;0.8;262;36;0.3;98;3;0;1;0;grève;False;Vacances de printemps;1;0;1;0;1
08/04/2019;4;0;311;1399;1800;77.7;300;4.7;303984;103;0;27.3;97;139;2163;1011;6793;1337;48.6;253;121;374;50;12;8.1;2519;2.8;871;0.8;249;0;0.3;93;0;0;0;0;grève;False;Vacances de printemps;1;0;1;0;1
09/04/2019;4;1;286;1380;1800;76.7;300;4.6;248374;115;0;22.5;102;138;2657;1405;6214;1275;48.6;244;113;357;60;12;5.9;1687;3.1;887;0.8;229;0;0.3;86;0;0;0;0;grève;False;Vacances de printemps;1;0;1;0;1
10/04/2019;4;2;293;1364;1800;75.8;290;6.4;336745;93;0;25.0;102;136;3007;1340;6316;1498;47.1;281;118;399;63;13;8.9;2608;3.2;938;0.8;234;0;0.3;88;0;0;0;0;normal;False;Vacances de printemps;1;0;1;0;1
11/04/2019;4;3;315;1390;1800;77.2;300;8.4;340819;98;0;25.2;88;139;2560;730;6018;1798;34.8;271;140;411;61;16;7.5;2362;2.6;819;0.8;252;0;0.3;94;0;1;0;0;normal;False;Vacances de printemps;1;0;1;0;1
12/04/2019;4;4;341;1421;1800;78.9;300;6.2;284421;105;0;25.6;76;142;1892;787;4629;1487;20.0;241;127;368;59;19;7.4;2523;2.4;818;0.8;273;32;0.3;102;0;1;1;0;grève;False;Vacances de printemps;1;0;1;0;1
13/04/2019;4;5;302;1398;1800;77.7;244;3.8;320131;92;0;21.9;107;139;2580;1222;7405;929;50.1;211;113;324;54;9;5.7;1721;3.4;1027;0.8;242;31;0.3;91;0;0;1;0;grève;False;Vacances de printemps;1;0;1;0;1
14/04/2019;4;6;293;1376;1800;76.4;300;3.8;311009;97;0;22.0;95;137;1972;773;5588;1349;55.1;238;98;336;56;14;11.9;3487;3.8;1113;0.8;234;0;0.3;88;0;1;0;0;grève;False;Vacances de printemps;1;0;1;0;1
15/04/2019;4;0;330;1389;1800;77.2;275;5.8;390221;110;0;25.3;93;138;2951;1293;6254;900;37.1;267;113;380;60;10;10.1;3333;3.8;1254;0.8;264;0;0.3;99;0;0;0;0;normal;False;Vacances de printemps;1;0;1;0;1
16/04/2019;4;1;283;1387;1800;77.1;300;2.0;226742;92;0;17.6;93;138;2483;1174;6339;1902;44.6;262;119;381;55;20;7.0;1981;2.9;821;0.8;226;0;0.3;85;0;0;0;0;normal;False;Vacances de printemps;1;0;1;0;1
